Chip,frequency(Mhz),Voltage,Power(Watts),TransistorSize (nm),Transistors,Chip Area,Source,
Cyrix1,100.0,3.3,19.4,650.0,3.0,394.0,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Cyrix2,110.0,3.3,20.9,650.0,3.0,225.0,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Cyrix3,120.0,3.4,22.0,650.0,3.0,225.0,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Cyrix4,133.0,3.4,23.8,650.0,3.0,225.0,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Cyrix5,100.0,2.8,11.2,350.0,3.0,169.0,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Cyrix6,120.0,2.8,12.6,350.0,3.0,169.0,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Cyrix7,133.0,2.8,13.6,350.0,3.0,169.0,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Cyrix8,150.0,2.8,14.9,350.0,3.0,169.0,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Cyrix9,150.0,2.9,18.9,350.0,6.0,197.0,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Cyrix10,166.0,2.9,20.2,350.0,6.0,197.0,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Cyrix11,166.0,2.9,19.1,300.0,6.0,156.0,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Cyrix12,187.0,2.9,22.9,350.0,6.0,197.0,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Cyrix13,200.0,2.9,22.9,350.0,6.0,197.0,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Cyrix14,200.0,2.9,22.3,300.0,6.0,156.0,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Cyrix15,208.0,2.9,23.0,300.0,5.0,156.0,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Cyrix16,200.0,2.9,22.3,300.0,6.0,156.0,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
